id;n3;n2;n4;n117;id_localisation
90;0040011R;Public;Lycée professionnel Louis Martin Bret;;376
91;0040027H;Public;Lycée Alexandra David Neel;;48
92;0040056P;Public;Lycée agricole Digne-Carmejane;;502
93;0040464H;Public;IFSI CH de Digne;;48
94;0040490L;Public;Lycée PIERRE-GILLES DE GENNES;;48
95;0040522W;Public;I.U.T. d'Aix-Marseille - Site de Digne;;48
96;0040533H;Public;Lycée Les Iscles;;376
97;0040593Y;Privé sous contrat d'association;IRTS PACA CORSE - Site de Digne-Les-Bains;;48
98;0050003B;Public;Lycée D'Altitude;;213
99;0050004C;Public;Lycée Honoré Romane;;942
100;0050005D;Public;Lycée Alpes et Durance - Lycée des Métiers de la construction bois et de l'énergie.;;942
101;0050006E;Public;Lycée Dominique Villars;;371
102;0050007F;Public;Lycée Aristide Briand;;371
103;0050008G;Public;Lycée professionnel Paul Heraud;;371
104;0050009H;Public;Lycée professionnel Sevigne;;371
105;0050566N;Public;IFSI CH Briançon;;213
106;0050567P;Public;IFSI du C.H.I.C.A.S;;371
107;0050604E;Public;I.U.T d'Aix-Marseille - Site de Gap;;371
108;0050607H;Public;Aix-Marseille Université - Site de Gap;;371
109;0060001U;Public;Lycée Jacques Audiberti;;372
110;0060009C;Public;Lycée Auguste Renoir;;533
111;0060011E;Public;Lycée Carnot;;59
112;0060013G;Public;Lycée Bristol;;59
113;0060014H;Public;Lycée Jules Ferry;;59
114;0060015J;Public;Lycée professionnel des Coteaux;;59
115;0060020P;Public;Lycée Amiral De Grasse;;389
116;0060022S;Public;Lycée professionnel Léon Chiris;;389
117;0060023T;Public;Lycée professionnel Francis De Croisset;;389
118;0060026W;Public;Lycée Pierre Et Marie Curie;;484
119;0060028Y;Public;Lycée professionnel Paul Valéry;;484
120;0060029Z;Public;Lycée du Parc Imperial;;453
121;0060030A;Public;Lycée Masséna;;453
122;0060031B;Public;Lycée Albert Calmette;;453
123;0060033D;Public;Lycée Honoré d'Estienne d'Orves (Beau-Site);;453
124;0060034E;Public;Lycée des Métiers - Hôtelier et Tourisme Jeanne et Paul Augier;;453
125;0060038J;Public;Lycée professionnel Vauban;;453
126;0060042N;Public;Lycée professionnel les Palmiers;;453
127;0060075Z;Public;Lycée Les Eucalyptus;;453
128;0060656F;Privé enseignement supérieur;SKEMA Business School - Campus de Sophia Antipolis;;81
129;0060670W;Privé sous contrat d'association;Institut Sainte Marie de Chavagnes;;59
130;0060673Z;Privé sous contrat d'association;Lycée Stanislas;;59
131;0060674A;Privé sous contrat d'association;Lycée Fenelon;;389
132;0060677D;Privé sous contrat d'association;Lycée Sasserno;;453
133;0060735S;Privé sous contrat d'association;Lycée Les Fauvettes;;59
134;0060774J;Privé sous contrat d'association;Lycée Saint Joseph;;453
135;0060793E;Public;Lycée Vert d'Azur Antibes;;372
136;0060807V;Public;Université Côte d'Azur - UFR de Médecine;;453
137;0060836B;Public;La Villa Arson – École nationale supérieure d’art de Nice;;453
