id;n3;n2;n4;n117;id_localisation
2014;0592808G;Privé enseignement supérieur;Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines;;557
2015;0592916Z;Privé sous contrat d'association;Lycée Notre-Dame De Grace;;601
2016;0592921E;Privé sous contrat d'association;Lycée Saint Rémi;;912
2017;0592926K;Privé sous contrat d'association;Institution Saint Jude;;1167
2018;0592928M;Privé sous contrat d'association;Lycée Jeanne D'Arc;;51
2019;0592940A;Privé sous contrat d'association;Lycée Saint-Jean;;179
2020;0592963A;Privé sous contrat d'association;Lycée Saint Martin;;912
2021;0592965C;Privé sous contrat d'association;Lycée Polyvalent privé EIC Industriel et Commercial;;692
2022;0592967E;Privé sous contrat d'association;Lycée La Sagesse;;480
2023;0592969G;Privé sous contrat d'association;Lycée Dampierre;;480
2024;0592973L;Privé sous contrat d'association;Lycée professionnel Saint-François d'Assise;;912
2025;0593006X;Privé sous contrat d'association;Lycée Notre-Dame D'Annay;;557
2026;0593007Y;Privé sous contrat d'association;Lycée Frédéric OZANAM;;557
2027;0593027V;Privé sous contrat d'association;Lycée professionnel privé Numérique des Métiers EPIL (Campus Sup' Groupe OEC);;557
2028;0593030Y;Privé sous contrat d'association;Lycée professionnel Notre-Dame du Sacré Coeur;;497
2029;0593034C;Privé sous contrat d'association;Lycée THEOPHILE LEGRAND;;1241
2030;0593040J;Privé sous contrat d'association;Lycée Notre-Dame De La Providence;;14
2031;0593052X;Public;I.U.T. de Valenciennes;;304
2032;0593058D;Privé sous contrat d'association;Lycée Vauban;;69
2033;0593060F;Privé sous contrat d'association;Institut Nicolas Barré;;1167
2034;0593061G;Privé sous contrat d'association;Lycée Saint Luc Cambrai;;856
2035;0593071T;Privé sous contrat d'association;Lycée Deforest De Lewarde;;179
2036;0593077Z;Privé sous contrat d'association;Lycée Saint Joseph;;375
2037;0593078A;Privé sous contrat d'association;Lycée Depoorter;;375
2038;0593104D;Privé sous contrat d'association;Lycée Saint Pierre;;974
2039;0593109J;Privé sous contrat d'association;Lycée Notre-Dame De La Paix;;557
2040;0593114P;Privé sous contrat d'association;Lycée Saint-Paul;;557
2041;0593117T;Privé sous contrat d'association;Lycée polyvalent privé La Salle;;557
2042;0593136N;Privé sous contrat d'association;Lycée Saint-Jacques;;375
2043;0593199G;Privé enseignement supérieur;ESSLIL Ecole des Sciences de la Société;;557
2044;0593202K;Privé enseignement supérieur;IESEG School of Management - Lille;;557
2045;0593203L;Privé sous contrat d'association;IFSI de l’institut catholique de Lille;;557
2046;0593206P;Privé hors contrat;CENTRE REGIONAL DE FORMATION DES PROFESSIONNELS DE L'ENFANCE;;557
2047;0593207R;Privé enseignement supérieur;ESJ Lille;;557
2048;0593225K;Privé sous contrat d'association;Lycée Prive De Marcq;;511
2049;0593255T;Public;Lycée de la Nature et des Biotechnologies, Douai Bio Tech';;179
2050;0593257V;Privé sous contrat d'association;Institut agricole de Genech;;419
2051;0593395V;Public;Lycée agricole et horticole de Lomme;;557
2052;0593495D;Public;Lycée professionnel Paul Langevin;;409
2053;0593500E;Privé enseignement supérieur;ESME Sudria Lille;;557
2054;0593584A;Public;Faculté de médecine Henri Warembourg - Université de Lille;;557
2055;0593655C;Public;École supérieure d’art et de communication de Cambrai;;856
2056;0594278E;Privé sous contrat d'association;lycée E.P.I.D.;;69
2057;0594365Z;Public;IUT LITTORAL (DUNKERQUE);;69
2058;0594391C;Public;E.S.AA.T.;;912
2059;0594424N;Public;Lycée Raymond Queneau;;1229
2060;0594652L;Public;Lycée professionnel des Plaines du Nord;;954
2061;0594658T;Privé enseignement supérieur;Institut National des Formations Notariales (INFN)- site de Lille;;557
2062;0594893Y;Public;IFSI Institut Gernez Rieux CHru de Lille;;557
2063;0594895A;Privé sous contrat d'association;IFSI Santélys Formation;;497
2064;0594898D;Privé sous contrat d'association;IFSI Croix Rouge Française Tourcoing;;692
2065;0594899E;Public;IFSI CH Valenciennes;;480
2066;0594900F;Public;IFSI du Centre Hôspitalier de Cambrai;;856
2067;0594901G;Privé sous contrat d'association;IFSI La Croix-Rouge Française Dechy;;549
2068;0595009Z;Public;IFSI CH d'Armentières;;1167
2069;0595124Z;Privé sous contrat d'association;Institut d'Hazebrouck;;375
2070;0595252N;Public;IFSI du Centre Hospitalier de Maubeuge;;601
2071;0595254R;Privé sous contrat d'association;IFSI Ambroise Paré;;1205
2072;0595521F;Public;IFSI CH Dunkerque;;69
2073;0595523H;Public;IFSI CH Roubaix;;912
2074;0595616J;Public;Lycée Du Noordover;;954
2075;0595653Z;Privé sous contrat d'association;INSTITUT PEDICURIE PODOLOGIE REGION SANITAIRE DE LILLE;;557
2076;0595657D;Privé sous contrat d'association;Institut Saint Vincent De Paul;;497
2077;0595770B;Public;Lycée agricole de Dunkerque-Rosendaël;;69
2078;0595786U;Public;Lycée Jean Prouve;;557
2079;0595788W;Public;IFSI Valentine Labbé;;877
2080;0595790Y;Public;IFSI du Centre Daumezon Saint André Lez Lille;;528
2081;0595793B;Privé sous contrat d'association;Institut de Formation de Psychomotriciens Raymond Leclercq;;497
2082;0595809U;Public;Lycée de L'Escaut;;480
2083;0595812X;Public;Ecole supérieure d'art Dunkerque-Tourcoing - Site de Dunkerque;;69
2084;0595831T;Public;Institut Supérieur de Commerce International de Dunkerque Côte d'Opale (ISCID-CO) - site de Dunkerque;;69
2085;0595856V;Public;Lycée professionnel de L'Yser;;655
2086;0595867G;Public;Lycée INTERNATIONAL MONTEBELLO;;557
2087;0595872M;Public;Universite de Lille - Centre Universitaire de Cambrai;;856
2088;0595876S;Public;Sciences Po Lille – Institut d'études politiques;;557
2089;0595877T;Privé hors contrat;ECOSUP Ecole technologique privée Institut de gestion hôtelière;;692
2090;0595884A;Public;Lycée André Lurçat;;601
2091;0595885B;Public;Lycée Arthur Rimbaud;;56
2092;0595953A;Privé enseignement supérieur;Etablissement d'enseignement supérieur technique privé RUBIKA de VALENCIENNES;;480
2093;0595964M;Public;Université du littoral - Site de Dunkerque;;69
2094;0595996X;Privé enseignement supérieur;Institut Catholique de Lille - ESPAS;;557
2095;0596011N;Privé enseignement supérieur;ICL - ISTC;;557
2096;0596039U;Public;Université d'Artois - Site de Douai;;179
2097;0596146K;Privé sous contrat d'association;IRTS HDF - Site Métropole Lilloise;;497
2098;0596147L;Privé sous contrat d'association;IRTS HDF - Site Grand Littoral;;954
2099;0596149N;Privé sous contrat d'association;ECOLE D'EDUCATEURS SPECIALISES ANTENNE DE MAUBEUGE;;601
2100;0596162C;Privé enseignement supérieur;Institut Catholique de Lille-Faculté Libre Droit;;557
2101;0596163D;Privé enseignement supérieur;EGC Business School Lille - Formation des écoles de commerce et de management Bac + 3;;557
2102;0596183A;Public;I.U.T. de Valenciennes - Site de Maubeuge;;601
2103;0596244S;Public;I.U.T. de Valenciennes - Site de Cambrai;;856
2104;0596610P;Public;Polytech Lille;;1229
2105;0596851B;Privé enseignement supérieur;EPITECH - Campus de Lille;;557
2106;0596854E;Public;Lycée du PAYS DE CONDE;;696
2107;0596953M;Privé enseignement supérieur;Institut Catholique de Lille - ESPOL European School of Political and Social Sciences;;557
2108;0596971G;Privé enseignement supérieur;PIKTURA;;912
2109;0597005U;Public;LYCEE POLYVALENT DU VAL DE LYS;;1233
2110;0597009Y;Privé enseignement supérieur;CESI Campus de Lille;;557
2111;0597010Z;Privé enseignement supérieur;EPSI Ecole Privée des Sciences Informatiques de LILLE;;557
2112;0597060D;Public;IMT Nord Europe;;1229
2113;0597097U;Privé sous contrat d'association;IRTS Hauts-de-France - Site Hainaut Cambrésis;;103
2114;0597098V;Privé enseignement supérieur;ESSLIL Ecole des Sciences de la Société site de Maubeuge;;601
2115;0597131F;Public;INSA Hauts-de-France (Valenciennes);;480
2116;0597132G;Public;Université Polytechnique Hauts-de-France;;480
2117;0597140R;Privé enseignement supérieur;Institut de Formation en Ergothérapie de Berck-sur-Mer - Site de LOOS;;497
2118;0597154F;Public;EIL Côte d'Opale - Site de Dunkerque;;69
2119;0597160M;Public;Université Polytechnique Hauts-de-France - Site de CAMBRAI;;856
2120;0597215X;Public;Institut universitaire de technologie de Lille - Université de Lille;;1229
2121;0597239Y;Public;Université de Lille;;557
2122;0597250K;Privé enseignement supérieur;Ecole Du Numérique - Faculté de Gestion, Economie - Sciences de l'Institut Catholique de LILLE;;557
2123;0597266C;Public;IUT de l'Université de Lille - site de Roubaix;;912
2124;0597267D;Public;IUT de l'Université de Lille - site de Tourcoing;;692
2125;0597271H;Privé enseignement supérieur;USCHOOL - Ecole pluridisciplinaire de l'Institut Catholique de LILLE;;557
2126;0600001A;Public;Lycée Felix Faure;;232
2127;0600002B;Public;Lycée Paul Langevin;;232
2128;0600004D;Public;Lycée professionnel Les Jacobins;;232
2129;0600009J;Public;Lycée Jean Rostand;;1185
2130;0600013N;Public;Lycée CASSINI;;1158
2131;0600014P;Public;Lycée Pierre d'Ailly;;1254
2132;0600015R;Public;Lycée Mireille Grenet;;1254
2133;0600020W;Public;Lycée Marie Curie;;140
2134;0600021X;Public;Lycée Jules Uhry;;395
2135;0600040T;Public;Lycée Jean Calvin;;415
2136;0600041U;Public;Lycée professionnel Charles De Bovelles;;415
2137;0600071B;Privé enseignement supérieur;UniLaSalle Beauvais;;232
2138;0601149Y;Privé sous contrat d'association;Lycée Saint Vincent;;1178
2139;0601164P;Privé sous contrat d'association;Lycée professionnel Croiset;;1185
2140;0601194X;Privé sous contrat d'association;Institut Charles Quentin;;44
2141;0601223D;Public;UTC Université de Technologie de Compiègne;;1254
2142;0601223H;Public;Cursus Humanités et technologie UTC Université de Technologie de Compiègne;;1254
2143;0601470X;Public;Lycée professionnel Lavoisier;;969
2144;0601700X;Privé sous contrat d'association;Institution Sevigne;;1254
2145;0601701Y;Privé sous contrat d'association;Lycée Général et Technologique Jean-Paul II;;1254
2146;0601748Z;Public;Institut de Formation en Soins Infirmiers - BEAUVAIS;;232
2147;0601749A;Public;Institut de Formation en Soins Infirmiers - COMPIÈGNE;;1254
2148;0601782L;Public;Lycée agricole de l'Oise - Airion / Beauvais;;481
2149;0601823F;Public;Lycée Francois Truffaut;;232
2150;0601824G;Public;Lycée Jeanne Hachette;;232
2151;0601826J;Public;Lycée Hugues Capet;;1178
2152;0601831P;Privé sous contrat d'association;Lycée St Joseph Du Moncel;;1152
2153;0601832R;Public;Lycée Jean Monnet;;951
2154;0601845E;Public;Lycée professionnel De La Foret;;1185
2155;0601863Z;Public;Lycée CHARLES DE GAULLE;;1254
2156;0601864A;Public;Lycée Andre Malraux;;1118
2157;0601865B;Public;Lycée CONDORCET;;969
2158;0601870G;Public;Lycée professionnel Andre Malraux;;1118
2159;0601895J;Public;I.U.T de l'Oise - Site de Creil;;395
2160;0601910A;Public;Université d'Amiens - Antenne de Beauvais;;232
2161;0601962G;Public;Institut de Formation en Soins Infirmiers - CLERMONT de l'OISE;;1035
2162;0601983E;Public;I.U.T de l'Oise - Site de Beauvais;;232
2163;0602099F;Privé enseignement supérieur;Ecole supérieure de chimie organique et minérale;;1254
2164;0602176P;Privé sous contrat d'association;APRADIS - Site Beauvais;;232
2165;0610001V;Public;Lycée Alain;;1015
2166;0610002W;Public;Lycée Leclerc Navarre;;1015
2167;0610006A;Public;Lycée Mézeray Gabriel;;1013
2168;0610014J;Public;Lycée Auguste Chevalier;;1095
2169;0610018N;Public;Lycée Les Andaines;;779
2170;0610021S;Public;Lycée Jean Guehenno;;277
2171;0610026X;Public;Lycée Napoleon;;289
2172;0610692W;Privé sous contrat d'association;Lycée St Francois De Sales;;1015
2173;0610694Y;Privé sous contrat d'association;Lycée Jeanne D'Arc (Argentan);;1013
2174;0610698C;Privé sous contrat d'association;Lycée Saint Thomas D'Aquin;;277
2175;0610724F;Privé sous contrat d'association;Lycée professionnel Giel Don Bosco;;997
2176;0610790C;Public;Lycée agricole Auguste Loutreuil;;687
2177;0610994Z;Privé sous contrat d'association;IFSI CROIX ROUGE COMPETENCE;;1015
2178;0610995A;Public;IFSI CH l'Aigle;;289
2179;0611037W;Privé sous contrat d'association;MFREO de Pointel;;1082
2180;0611097L;Public;IFSI CH Flers;;277
2181;0611148S;Public;Lycée Jean Monnet;;853
2182;0611149T;Public;IUT GRAND OUEST NORMANDIE - Pôle d'Alençon;;84
2183;0611175W;Privé sous contrat d'association;MFREO de la Ferté Macé;;779
2184;0611205D;Public;Université de Caen Normandie - Campus Alençon - UFR de Droit, AES et Administration publique;;84
2185;0611269Y;Privé hors contrat;IFRES d'Alençon;;1015
2186;0611270Z;Privé sous contrat d'association;Croix Rouge Compétence - Normandie;;1015
2187;0620006V;Public;Lycée Robespierre;;996
2188;0620011A;Public;Lycée professionnel Jacques Le Caron;;996
2189;0620027T;Public;Lycée Pablo Picasso;;254
2190;0620040G;Public;Lycée Louis Blaringhem;;1115
2191;0620042J;Public;Lycée Andre Malraux;;1115
2192;0620052V;Public;Lycée Edouard Branly;;348
2193;0620056Z;Public;Lycée Carnot;;305
2194;0620062F;Public;Lycée Pierre De Coubertin;;659
2195;0620063G;Public;Lycée Sophie Berthelot;;659
2196;0620070P;Public;Lycée Diderot;;1282
2197;0620093P;Public;Lycée Fernand Darchicourt;;24
2198;0620095S;Public;Lycée Louis Pasteur;;24
2199;0620108F;Public;Lycée Condorcet;;843
2200;0620109G;Public;Lycée Auguste Behal;;843
2201;0620113L;Public;Lycée Henri Darras;;1240
2202;0620120U;Public;Lycée Anatole France;;386
2203;0620131F;Public;Lycée professionnel des Deux Caps;;1151
2204;0620140R;Public;Lycée Eugene Woillez;;211
2205;0620150B;Public;Lycée professionnel Joliot-Curie;;578
2206;0620161N;Public;Lycée Alexandre Ribot;;792
2207;0620162P;Public;Lycée du Pays de Saint Omer (LYPSO);;792
2208;0620166U;Public;Lycée Albert Chatelet;;331
2209;0620190V;Public;Lycée professionnel Henri Darras;;1240
2210;0620215X;Public;Université du littoral - Site de Calais -;;659
2211;0620229M;Public;EREA Saint Exupéry;;1279
2212;0620256S;Public;Lycée Guy Mollet;;996
2213;0620257T;Public;Lycée professionnel Savary - Ferry;;996
2214;0622089J;Public;Lycée professionnel André Malraux;;1115
2215;0622107D;Privé sous contrat d'association;Lycée NAZARETH-HAFFREINGUE;;348
2216;0622110G;Privé sous contrat d'association;Lycée Saint Pierre;;659
2217;0622114L;Privé sous contrat d'association;Lycée Saint-Paul;;843
2218;0622196A;Privé sous contrat d'association;Lycée Baudimont Saint-Charles;;996
2219;0622198C;Privé sous contrat d'association;Lycée Saint Joseph;;1001
2220;0622199D;Privé sous contrat d'association;Lycée Saint Denis;;792
2221;0622238W;Public;I.U.T. de Béthune;;1115
2222;0622257S;Public;Lycée agro-environnemental d'Arras;;1081
2223;0622276M;Public;Lycée Jan Lavezzari;;1279
2224;0622384E;Privé enseignement supérieur;CESI Campus d'Arras;;996
2225;0622801H;Public;Lycée professionnel des Travaux Publics;;305
2226;0622803K;Public;Lycée Blaise Pascal;;518
2227;0622807P;Public;Lycée des Métiers - Hotelier;;559
2228;0622949U;Public;Lycée Mariette;;348
2229;0623133U;Privé sous contrat d'association;IFSI La Croix-Rouge Française Arras;;996
2230;0623134V;Public;IFSI du CH d'Arras;;996
2231;0623135W;Privé sous contrat d'association;IFSI Croix Rouge Française Bethune;;1115
2232;0623136X;Privé sous contrat d'association;IFSI Croix Rouge Française Calais;;659
2233;0623137Y;Public;IFSI CH Boulogne Sur Mer;;348
2234;0623138Z;Public;IFSI CH St-Omer;;792
2235;0623139A;Privé sous contrat d'association;IFSI Croix Rouge Française Lens;;843
2236;0623218L;Public;I.U.T LITTORAL (CALAIS);;659
2237;0623276Z;Privé sous contrat d'association;Lycée professionnel Agricole Sainte Marie;;161
2238;0623277A;Privé sous contrat d'association;Institut Saint Eloi;;181
2239;0623279C;Privé sous contrat d'association;Lycée St-Joseph;;171
2240;0623280D;Privé sous contrat d'association;Institut Technique de Savy;;1097
2241;0623328F;Public;Lycée professionnel Henri Senez;;24
2242;0623633M;Privé hors contrat;Institut de Formation en Ergothérapie de Berck sur Mer – Site de Berck;;1279
2243;0623786D;Privé sous contrat d'association;MFR de Rollancourt;;499
2244;0623820R;Privé enseignement supérieur;EPSI - Site d'ARRAS;;996
2245;0623844S;Public;Institut de Formation en Soins Infirmiers - IFSI et IFAS - BERCK;;1279
2246;0623845T;Public;IFSI Campus des Métiers de la Santé - Val de Lys Artois;;284
2247;0623864N;Public;Lycée professionnel Maximilien de Robespierre;;843
2248;0623902E;Public;Lycée Marguerite Yourcenar;;1107
2249;0623903F;Public;Lycée professionnel maritime et aquacole;;1027
2250;0623911P;Public;Université d'Artois - Site de Lens;;843
2251;0623915U;Public;Lycée Voltaire;;1077
2252;0623920Z;Public;Université du littoral - Site de Boulogne-sur-Mer;;348
2253;0623957P;Public;Université d'Artois - Site d'Arras;;996
2254;0623960T;Public;IG2I;;843
2255;0623981R;Public;Lycée Vauban;;161
2256;0623985V;Public;I.U.T. de Lens;;843
2257;0624055W;Public;Université d'Artois - Site de Béthune;;1115
2258;0624062D;Public;IUT LITTORAL (SAINT OMER);;518
2259;0624064F;Privé sous contrat d'association;AFERTES;;996
2260;0624065G;Privé sous contrat d'association;IRTS HDF - Site Artois;;996
2261;0624109E;Public;Lycée Giraux Sannier;;1001
2262;0624139M;Public;Université d'Artois - Site de Liévin;;1240
2263;0624140N;Public;I.U.T LITTORAL (BOULOGNE/MER);;348
2264;0624141P;Public;Lycée Léonard de Vinci;;659
2265;0624237U;Public;Université du littoral - Site de Saint-Omer;;518
2266;0624429C;Public;EIL Côte d'Opale;;659
2267;0624430D;Public;GAMBETTA CARNOT;;996
2268;0624440P;Public;LYCEE POLYVALENT D'ARTOIS;;280
2269;0624488S;Privé sous contrat d'association;IRTS Hauts-de-France - Site Côte d'Opale;;348
2270;0624489T;Privé sous contrat d'association;EESTS - ECOLE EUROPEENNE SUPERIEURE EN TRAVAIL SOCIAL D'AVION;;254
2271;0624490U;Privé sous contrat d'association;EESTS - ECOLE EUROPEENNE SUPERIEURE EN TRAVAIL SOCIAL DE ST OMER;;792
2272;0624548G;Public;Centre de Ressources, d'Expertise et de Performance Sportive de Wattignies - Site de LIEVIN;;1240
2273;0624551K;Privé sous contrat d'association;AFERTES - Site d'Avion;;254
2274;0630018C;Public;Lycée Blaise Pascal;;101
2275;0630020E;Public;Lycée Sidoine Apollinaire;;101
2276;0630021F;Public;Lycée La Fayette;;101
2277;0630022G;Public;Lycée professionnel Roger Claustres;;101
2278;0630034V;Public;Lycée Murat;;366
2279;0630041C;Public;Lycée professionnel des métiers HSC Deville;;366
2280;0630052P;Public;Lycée Claude et Pierre Virlogeux;;11
2281;0630054S;Public;Lycée professionnel Marie Laurencin;;11
2282;0630061Z;Public;Lycée professionnel Desaix;;672
2283;0630068G;Public;Lycée Montdory;;8
2284;0630069H;Public;Lycée Jean Zay;;8
2285;0630077S;Public;Lycée Ambroise Brugiere;;101
2286;0630095L;Public;CPI Clermont-Ferrand (Sigma Clermont);;92
2287;0630105X;Public;Ecole Supérieure d'Art de Clermont Métropole;;101
2288;0630109B;Privé enseignement supérieur;CLERMONT SCHOOL OF BUSINESS (Ex ESC Clermont);;101
2289;0630110C;Privé sous contrat d'association;ITSRA;;101
2290;0630111D;Privé hors contrat;Institut National des Formations Notariales - site de CLERMONT-FERRAND;;92
2291;0630984C;Public;LEGTPA Louis Pasteur (Clermont-Marmilhat);;893
2292;0631033F;Privé sous contrat d'association;Lycée Sévigné Saint-Louis;;366
2293;0631068U;Privé sous contrat d'association;Lycée Godefroy De Bouillon;;101
2294;0631070W;Privé sous contrat d'association;Lycée Sainte Thecle;;1196
2295;0631074A;Privé sous contrat d'association;Lycée Fenelon;;101
2296;0631075B;Privé sous contrat d'association;Institution Saint Alyre;;101
2297;0631225P;Public;LPA de Rochefort-Montagne;;111
2298;0631287G;Public;Ecole Nationale Supérieure d'Architecture de Clermont-Ferrand;;101
2299;0631382K;Public;Unité de Formation et de Recherche de Médecine Université Clermont Auvergne;;101
2300;0631383L;Public;Polytech Clermont;;92
2301;0631457S;Public;LPA des Combrailles - Site de Pontaumur;;405
2302;0631480S;Public;Lycée professionnel Pierre Boulanger;;933
2303;0631540G;Public;Institut de Formation de Manipulateurs d’Electroradiologie Médicale;;101
2304;0631541H;Public;IFSI CHU Clermont Ferrand;;101
2305;0631669X;Public;Lycée polyvalent Valéry GISCARD d'ESTAING - Lycée des métiers de l'hôtellerie de la restauration;;1196
2306;0631861F;Public;Lycée René Descartes;;471
2307;0631985R;Public;Lycée Polyvalent Pierre-Joël Bonté;;11
2308;0632001H;Public;Institut Agro Enseignement à distance;;893
2309;0632033T;Public;Clermont Auvergne INP;;92
2310;0632059W;Privé hors contrat;EFCAM Centre;;11
2311;0632084Y;Public;Université Clermont Auvergne;;101
2312;0632085Z;Public;I.U.T Clermont Auvergne - site d'Aubière;;92
2313;0632086A;Public;Ecole d'ingénieurs SIGMA Clermont;;92
2314;0632091F;Public;Lycée professionnel Gergovie;;101
2315;0640001D;Public;Lycée Cantau;;836
2316;0640010N;Public;Lycée René Cassin Bayonne-Biarritz;;883
2317;0640011P;Public;LPO Louis De Foix;;883
2318;0640013S;Public;Lycée professionnel Paul Bert;;883
2319;0640017W;Public;Lycée André Malraux;;40
2320;0640044A;Public;Lycée des métiers de la chimie Albert Camus;;472
2321;0640049F;Public;Lycée professionnel Guynemer;;438
2322;0640052J;Public;Lycée Gaston Fébus;;449
2323;0640055M;Public;Lycée Louis Barthou;;113
2324;0640057P;Public;Lycée Saint-Cricq;;113
2325;0640080P;Public;Lycée des métiers Moliere;;449
2326;0640096G;Public;éklore-ed - Campus Pau;;113
2327;0640111Y;Privé sous contrat d'association;Lycée Largenté - Campus Aitzina;;883
2328;0640130U;Privé sous contrat d'association;Lycée Immaculée Conception Beau-Frêne;;113
2329;0640131V;Privé sous contrat d'association;Lycée St Dominique;;113
2330;0640137B;Privé sous contrat d'association;Lycée Saint-Joseph-Campus Aitzina;;629
2331;0640176U;Privé sous contrat d'association;Institut du Travail Social Pierre Bourdieu de Pau;;113
2332;0640181Z;Privé sous contrat d'association;Lycée Général, Technologique et Professionnel St Joseph - Campus Aitzina;;237
2333;0640220S;Public;Lycée agricole de Pau-Montardon;;227
2334;0641441U;Privé sous contrat d'association;Lycée Stella Maris - Campus Aitzina;;836
2335;0641459N;Public;IFSI CH de Bayonne;;883
2336;0641460P;Public;IFSI CH de Pau;;113
2337;0641478J;Public;I.U.T. de Bayonne;;836
2338;0641535W;Privé sous contrat d'association;Lycée professionnel Agricole Armand DAVID;;237
2339;0641545G;Privé sous contrat d'association;Institut Agricole Secondaire Jean Errecart;;269
2340;0641547J;Privé sous contrat d'association;Lycée professionnel Agricole Saint Christophe;;851
2341;0641594K;Public;IFSI du CH d'Orthez;;449
2342;0641732K;Public;Lycée Saint-John Perse;;113
2343;0641779L;Public;Lycée des métiers du Pays de Soule;;78
2344;0641823J;Public;Lycée des Métiers - Hôtelier et de Tourisme;;40
2345;0641839B;Public;Lycée Jacques Monod;;458
2346;0641842E;Public;I.U.T des Pays de l'Adour;;113
2347;0641846C;Public;CPI Pau (ENSGTI);;113
2348;0641846J;Public;CPBx (ENSGTI);;113
2349;0641848L;Privé enseignement supérieur;KEDGE BUSINESS SCHOOL - Site de Bayonne;;883
2350;0641894L;Public;Université de Pau et des pays de l'Adour - Collège EEI - IAE (Bayonne);;883
2351;0641919I;Public;ISA BTP;;836
2352;0641923T;Privé enseignement supérieur;CPBx (ESTIA);;445
2353;0641927X;Privé sous contrat d'association;ETCHARRY FORMATION DEVELOPPEMENT - AFMR;;629
2354;0642029H;Privé enseignement supérieur;CESI Campus d'Assat;;113
2355;0642071D;Public;Ecole supérieure d'art Pays Basque;;883
2356;0642089Y;Public;Ecole supérieure d'art et de design des Pyrénées - Pau;;113
2357;0642126N;Public;Université de Pau et des pays de l'Adour - Collège EEI (Bayonne);;883
2358;0642127P;Public;Université de Pau et des pays de l'Adour - Collège SSH (Pau);;113
2359;0642128R;Public;Université de Pau et des pays de l'Adour - Collège STEE (Pau);;113
2360;0642130T;Public;Université de Pau et des pays de l'Adour - Collège SSH (Anglet);;836
2361;0642131U;Public;Université de Pau et des pays de l'Adour - Collège STEE (Anglet);;836
2362;0642140D;Public;Antenne de Pau de CY Tech;;113
2363;0642183A;Public;IFMEM CHU BORDEAUX - Antenne de Bayonne;;883
2364;0650005C;Public;Lycée Victor Duruy;;190
2365;0650025Z;Public;Lycée Théophile Gautier;;249
2366;0650026A;Public;Lycée Marie Curie;;249
2367;0650027B;Public;Lycée Jean Dupuy;;249
2368;0650028C;Public;Lycée professionnel Sixte Vignon;;365
2369;0650029D;Public;Lycée professionnel Reffye;;249
2370;0650038N;Public;Lycée Pierre Mendes France;;825
2371;0650058K;Privé sous contrat d'association;Lycée Peyramale Saint-Joseph;;122
2372;0650065T;Privé sous contrat d'association;Lycée Pradeau la Sède-St Pierre;;249
2373;0650139Y;Public;L.E.G.T.A. Jean Monnet;;825
2374;0650583F;Public;I.U.T de Tarbes;;249
2375;0650792H;Public;IFSI CH de Bigorre;;249
2376;0650948C;Privé enseignement supérieur;EGC Tarbes-Pyrénées;;249
2377;0651072M;Public;Ecole supérieure d'art et de design des Pyrénées - Tarbes;;249
2467;0680032R;Public;Lycée Michel De Montaigne;;1065
2378;0651102V;Public;Université de Pau et des pays de l'Adour - Collège SSH (Tarbes);;249
2379;0651119N;Privé enseignement supérieur;Inkipit - Campus de Tarbes;;249
2380;0651125V;Public;Ecole nationale d'ingénieurs de Tarbes;;249
2381;0660004W;Public;Lycée Deodat De Severac;;1111
2382;0660010C;Public;Lycée François Arago;;1236
2383;0660011D;Public;Lycée Jean Lurcat;;1236
2384;0660014G;Public;Lycée Pablo Picasso;;1236
2385;0660021P;Public;Lycée Charles Renouvier;;865
2386;0660026V;Public;Lycée professionnel Alfred Sauvy;;520
2387;0660059F;Privé sous contrat d'association;Lycée Notre-Dame De Bon Secours;;1236
2388;0660077A;Privé sous contrat d'association;Lycée Sainte Louise de Marillac;;1236
2389;0660437S;Public;Université de Perpignan Via Domitia;;1236
2390;0660524L;Public;SUP ENR - partenaire INSA;;1236
2391;0660552S;Privé sous contrat d'association;Lycée NEOSUP Ecole Maso;;1236
2392;0660570L;Public;IFSI CH Perpignan;;1236
2393;0660586D;Public;I.U.T de Perpignan;;1236
2394;0660699B;Public;Lycée agricole Federico GARCIA LORCA;;946
2395;0660809W;Public;Lycée Aristide Maillol;;1236
2396;0660832W;Public;Université de Perpignan - Antenne de Font Romeu;;443
2397;0660856X;Public;Lycée Rosa Luxemburg;;1084
2398;0660922U;Public;Université de Montpellier, Antenne de Perpignan;;1236
2399;0660924W;Public;LYCEE POLYVALENT CHRISTIAN BOURQUIN;;355
2400;0660951A;Privé sous contrat d'association;Institut Régional du Travail Social de Perpignan;;1236
2401;0670005S;Public;Lycée Andre Maurois;;379
2402;0670020H;Public;Lycée Robert Schuman;;935
2403;0670041F;Public;Lycée Henri Meck;;984
2404;0670057Y;Public;Lycée General Leclerc;;681
2405;0670071N;Public;Lycée Koeberle;;295
2406;0670078W;Public;Lycée Jean Monnet;;210
2407;0670079X;Public;Lycée Fustel De Coulanges;;210
2408;0670080Y;Public;Lycée Kléber;;210
2409;0670084C;Public;Lycée Jean Rostand;;210
2410;0670085D;Public;Lycée Louis Couffignal;;210
2411;0670086E;Public;Lycée des métiers René Cassin;;210
2412;0670087F;Public;Lycée Alexandre Dumas (Hotelier);;887
2413;0670089H;Public;Lycée Emile Mathis;;487
2414;0670114K;Public;Lycée Stanislas;;1269
2415;0670141P;Public;Centre de Ressources, d'Expertise et de Performance Sportive de Strasbourg (CREPS);;210
2416;0670178E;Public;Sciences Po Strasbourg – Institut d'études politiques;;210
