id;n10;n11;n12;n13;n14;n15;n16
2041;Licence - Langues étrangères appliquées - Parcours Anglais/Chinois;formation sélective;Licence;Université Clermont Auvergne - Licence - Langues étrangères appliquées - Parcours Anglais/Chinois;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais/Chinois
2097;BTS - Services - Métiers de la coiffure;formation sélective;BTS;LYCEE PROFESSIONNEL PRIVE CLOVIS HUGUES - BTS - Services - Métiers de la coiffure;BTS - Services;Métiers de la coiffure;
2042;Licence - Administration économique et sociale - Parcours Données et sociétés;formation non sélective;Licence;Avignon Université - Licence - Administration économique et sociale - Parcours Données et sociétés;Licence - Droit-économie-gestion;Administration économique et sociale;Données et sociétés
2043;BTS - Services - Communication;formation sélective;BTS;Lycée Gustave Eiffel - BTS - Services - Communication;BTS - Services;Communication;
2044;BUT - Techniques de commercialisation;formation sélective;BUT;I.U.T Epinal-Hubert Curien - Université de Lorraine - BUT - Techniques de commercialisation;BUT - Service;Techniques de commercialisation;
2045;BTS - Services - Services informatiques aux organisations;formation sélective;BTS;Lycée Le Castel - BTS - Services - Services informatiques aux organisations;BTS - Services;Services informatiques aux organisations;
2046;BTS - Agricole - Métiers de l'élevage: développement, production et conseil;formation sélective;BTS;Lycée agricole Les Etablières - BTS - Agricole - Métiers de l'élevage: développement, production et conseil;BTS - Agricole;Métiers de l'élevage: développement, production et conseil;
2047;Licence - Portail Histoire de l'art et archéologie - Histoire de l'art et archéologie - Grenoble;formation non sélective;Licence;Université Grenoble Alpes - Licence - Portail Histoire de l'art et archéologie - Histoire de l'art et archéologie - Grenoble;Licence - Sciences humaines et sociales;Histoire de l'art et archéologie;Histoire de l'art et archéologie - Grenoble
2048;Classe d'approfondissement en arts plastiques;formation sélective;Autre formation;Institution Notre-Dame Saint-Jean - LYCEE - Classe d'approfondissement en arts plastiques;Année préparatoire;Année préparatoire;Classe d'approfondissement en arts plastiques
2049;BTS - Production - Maintenance des véhicules option motocycles;formation sélective;BTS;Lycée G A R A C - BTS - Production - Maintenance des véhicules option motocycles;BTS - Production;Maintenance des véhicules option motocycles;
2050;Double licence - Géographie et aménagement / Langues, littératures et civilisations étrangères et régionales - Géographie - LLCER Études Nordiques;formation sélective;Licence;Sorbonne université - Double licence - Géographie et aménagement / Langues, littératures et civilisations étrangères et régionales - Géographie - LLCER Études Nordiques;Licence - Sciences humaines et sociales;Géographie et aménagement;Géographie - LLCER Études Nordiques
2051;Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours Masso-Kinésithérapie;formation sélective;Licence;Université de Limoges - Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours Masso-Kinésithérapie;Licence - Sciences - technologies - santé;Sciences et Techniques des Activités Physiques et Sportives;Masso-Kinésithérapie
2052;DN MADE - Mode - Spécialité : Savoir-faire, luxe et innovation – Tissage;formation sélective;Autre formation;Esaa Duperré - DN MADE - Mode - Spécialité : Savoir-faire, luxe et innovation – Tissage;DN MADE;Mode;Spécialité : Savoir-faire, luxe et innovation – Tissage
2053;CPGE - MPSI;formation sélective;CPGE;Lycée Joffre - CPGE - MPSI;Classe préparatoire scientifique;MPSI;
2054;Licence - Information et communication;formation non sélective;Licence;Université de La Réunion - Saint Denis - Licence - Information et communication;Licence - Sciences humaines et sociales;Information et communication;
2055;C.M.I - Cursus Master en Ingénierie - Histoire - Cursus Master en Ingénierie (CMI) : Editions Numériques et Patrimoine de l'Antiquité à nos jours;formation sélective;Autre formation;Université Marie et Louis Pasteur - Université de Franche-Comté - C.M.I - Cursus Master en Ingénierie - Histoire - Cursus Master en Ingénierie (CMI) : Editions Numériques et Patrimoine de l'Antiquité à nos jours;C.M.I - Cursus Master en Ingénierie;Histoire;Cursus Master en Ingénierie (CMI) : Editions Numériques et Patrimoine de l'Antiquité à nos jours
2056;CPGE - PTSI;formation sélective;CPGE;Lycée Etienne Mimard - CPGE - PTSI;Classe préparatoire scientifique;PTSI;
2057;CPGE - TSI;formation sélective;CPGE;Lycée polyvalent Germaine Tillion - CPGE - TSI;Classe préparatoire scientifique;TSI;
2058;Licence - Gestion;formation non sélective;Licence;Université Clermont Auvergne - Licence - Gestion;Licence - Droit-économie-gestion;Gestion;
2059;BTS - Services - Services et prestations des secteurs sanitaire et social;formation sélective;BTS;Lycée Henri Poincare - BTS - Services - Services et prestations des secteurs sanitaire et social;BTS - Services;Services et prestations des secteurs sanitaire et social;
2060;Licence - Science politique;formation non sélective;Licence;Université Paris 1 Panthéon Sorbonne - Licence - Science politique;Licence - Droit-économie-gestion;Science politique;
2061;FCIL - Préparation aux concours de la sécurité publique et civile;formation sélective;Autre formation;Lycée professionnel Paul Gauguin - FCIL - Préparation aux concours de la sécurité publique et civile;FCIL;FCIL;Préparation aux concours de la sécurité publique et civile
